"Kingdom","Phylum","Class","Order","Family","Genus","asv_genus"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_unclass","Clostridiales_unclass","ASV852|Clostridiales_unclass"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_XI","Peptoniphilus","ASV1512|Peptoniphilus"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae","ASV1277|Lachnospiraceae"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_ss1","ASV879|Clostridium_ss1"
"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Micrococcaceae","ASV272|Micrococcaceae"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptoclostridium","ASV1507|Peptoclostridium"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","ASV936|Enterococcus"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae","ASV1278|Lachnospiraceae"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Paeniclostridium","ASV1499|Paeniclostridium"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae","ASV1279|Lachnospiraceae"
"Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","ASV1710|Fusobacterium"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_ss7","ASV913|Clostridium_ss7"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridiaceae_1","ASV1176|Clostridiaceae_1"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae","ASV1280|Lachnospiraceae"
"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriales_unclass","Coriobacteriales_unclass","ASV100|Coriobacteriales_unclass"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","ASV1629|Streptococcus"
"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelotrichaceae","ASV1214|Erysipelotrichaceae"
"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Slackia","ASV330|Slackia"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Hathewaya","ASV1032|Hathewaya"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptostreptococcus","ASV1515|Peptostreptococcus"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","ASV469|Bacteroides"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae","ASV1281|Lachnospiraceae"
"Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","ASV1711|Fusobacterium"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae","ASV1282|Lachnospiraceae"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_ss1","ASV880|Clostridium_ss1"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_XIII","Clostridiales_XIII","ASV1256|Clostridiales_XIII"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridiaceae_1","ASV1177|Clostridiaceae_1"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","ASV428|Alloprevotella"
"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelotrichaceae","ASV1215|Erysipelotrichaceae"
"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Faecalitalea","ASV975|Faecalitalea"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus_3","ASV925|Coprococcus_3"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_ss1","ASV882|Clostridium_ss1"
"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter","ASV67|Arthrobacter"
"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelotrichaceae","ASV1216|Erysipelotrichaceae"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Paeniclostridium","ASV1500|Paeniclostridium"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Peptococcus","ASV1508|Peptococcus"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_XIII","Clostridiales_XIII","ASV1257|Clostridiales_XIII"
"Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","ASV1713|Fusobacterium"
"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelotrichaceae","ASV1217|Erysipelotrichaceae"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae","ASV1283|Lachnospiraceae"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","ASV470|Bacteroides"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptostreptococcaceae","ASV1408|Peptostreptococcaceae"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridiaceae_1","ASV1178|Clostridiaceae_1"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","ASV471|Bacteroides"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Peptococcus","ASV1509|Peptococcus"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Terrisporobacter","ASV1668|Terrisporobacter"
"Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","ASV1714|Fusobacterium"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Cand_Arthromitus","ASV803|Cand_Arthromitus"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae","ASV1284|Lachnospiraceae"
"Bacteria","Firmicutes","Negativicutes","Selenomonadales","Acidaminococcaceae","Phascolarctobacterium","ASV1524|Phascolarctobacterium"
"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","ASV94|Collinsella"
"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Eggerthellaceae","ASV236|Eggerthellaceae"
"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Can_Stoquefichus","ASV804|Can_Stoquefichus"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae","ASV1289|Lachnospiraceae"
"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillales_unclass","Bacillales_unclass","ASV756|Bacillales_unclass"
