"Domain","Phylum","Class","Order","Family","Genus","Species"
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales",NA,NA,NA
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae",NA,NA
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae",NA,NA
"d__Bacteria","p__Cyanobacteria","c__Vampirivibrionia","o__Gastranaerophilales","f__Gastranaerophilales","g__Gastranaerophilales",NA
"d__Bacteria","p__Cyanobacteria","c__Vampirivibrionia","o__Gastranaerophilales","f__Gastranaerophilales","g__Gastranaerophilales","s__uncultured_rumen"
"d__Bacteria","p__Cyanobacteria","c__Vampirivibrionia","o__Gastranaerophilales","f__Gastranaerophilales","g__Gastranaerophilales",NA
"d__Bacteria","p__Cyanobacteria","c__Vampirivibrionia","o__Gastranaerophilales","f__Gastranaerophilales","g__Gastranaerophilales",NA
"d__Bacteria","p__Cyanobacteria","c__Vampirivibrionia","o__Gastranaerophilales","f__Gastranaerophilales","g__Gastranaerophilales",NA
"d__Bacteria","p__Cyanobacteria","c__Vampirivibrionia","o__Gastranaerophilales","f__Gastranaerophilales","g__Gastranaerophilales","s__Candidatus_Gastranaerophilales"
"d__Bacteria","p__Cyanobacteria","c__Vampirivibrionia","o__Gastranaerophilales","f__Gastranaerophilales","g__Gastranaerophilales","s__Acinetobacter_sp."
"d__Bacteria","p__Cyanobacteria","c__Vampirivibrionia","o__Gastranaerophilales","f__Gastranaerophilales","g__Gastranaerophilales","s__uncultured_bacterium"
"d__Bacteria","p__Cyanobacteria","c__Vampirivibrionia","o__Gastranaerophilales","f__Gastranaerophilales","g__Gastranaerophilales",NA
"d__Bacteria","p__Cyanobacteria","c__Vampirivibrionia","o__Gastranaerophilales","f__Gastranaerophilales","g__Gastranaerophilales",NA
"d__Bacteria","p__Cyanobacteria","c__Vampirivibrionia","o__Gastranaerophilales","f__Gastranaerophilales","g__Gastranaerophilales","s__uncultured_rumen"
"d__Bacteria","p__Cyanobacteria","c__Vampirivibrionia","o__Gastranaerophilales","f__Gastranaerophilales","g__Gastranaerophilales","s__uncultured_bacterium"
"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__uncultured","g__uncultured","s__uncultured_bacterium"
"d__Bacteria","p__Desulfobacterota","c__Desulfovibrionia","o__Desulfovibrionales","f__Desulfovibrionaceae","g__Bilophila",NA
"d__Bacteria","p__Desulfobacterota","c__Desulfovibrionia","o__Desulfovibrionales","f__Desulfovibrionaceae","g__uncultured","s__uncultured_delta"
"d__Bacteria","p__Desulfobacterota","c__Desulfovibrionia","o__Desulfovibrionales","f__Desulfovibrionaceae","g__uncultured",NA
"d__Bacteria","p__Desulfobacterota","c__Desulfovibrionia","o__Desulfovibrionales","f__Desulfovibrionaceae","g__uncultured","s__uncultured_Desulfovibrionaceae"
"d__Bacteria","p__Desulfobacterota","c__Desulfovibrionia","o__Desulfovibrionales","f__Desulfovibrionaceae","g__Desulfovibrio",NA
"d__Bacteria","p__Desulfobacterota","c__Desulfovibrionia","o__Desulfovibrionales","f__Desulfovibrionaceae","g__Desulfovibrio",NA
"d__Bacteria","p__Desulfobacterota","c__Desulfovibrionia","o__Desulfovibrionales","f__Desulfovibrionaceae","g__Desulfovibrio","s__uncultured_Desulfovibrionaceae"
"d__Bacteria","p__Desulfobacterota","c__Desulfovibrionia","o__Desulfovibrionales","f__Desulfovibrionaceae","g__Desulfovibrio",NA
"d__Bacteria","p__Desulfobacterota","c__Desulfovibrionia","o__Desulfovibrionales","f__Desulfovibrionaceae","g__Desulfovibrio","s__uncultured_proteobacterium"
"d__Bacteria","p__Desulfobacterota","c__Desulfovibrionia","o__Desulfovibrionales","f__Desulfovibrionaceae","g__Desulfovibrio","s__uncultured_proteobacterium"
"d__Bacteria","p__Desulfobacterota","c__Desulfovibrionia","o__Desulfovibrionales","f__Desulfovibrionaceae","g__Desulfovibrio","s__uncultured_Desulfovibrionaceae"
"d__Bacteria","p__Rs-K70_termite_group","c__Rs-K70_termite_group","o__Rs-K70_termite_group","f__Rs-K70_termite_group","g__Rs-K70_termite_group",NA
"d__Bacteria","p__Desulfobacterota","c__Desulfobacteria","o__Desulfobacterales","f__uncultured","g__uncultured","s__uncultured_proteobacterium"
"d__Bacteria","p__Fusobacteriota","c__Fusobacteriia","o__Fusobacteriales","f__Fusobacteriaceae","g__Fusobacterium",NA
"d__Bacteria","p__Fusobacteriota","c__Fusobacteriia","o__Fusobacteriales","f__Fusobacteriaceae","g__Fusobacterium",NA
"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-005","s__uncultured_rumen"
"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__NK4A214_group",NA
"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae",NA,NA
"d__Bacteria","p__Bacteroidota","c__Bacteroidia",NA,NA,NA,NA
"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Parabacteroides","s__Gryllus_firmus"
"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinifilaceae","g__Butyricimonas","s__Butyricimonas_sp."
"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae",NA,NA
"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae",NA,NA
"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Roseburia",NA
"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae",NA,NA
"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae",NA,NA
"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnoclostridium",NA
"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnoclostridium",NA
"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Blautia","s__uncultured_bacterium"
"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Eisenbergiella",NA
"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Eisenbergiella",NA
"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Catenibacillus","s__uncultured_bacterium"
"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_UCG-008",NA
"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Anaerostipes",NA
"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Tyzzerella","s__uncultured_rumen"
"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Tyzzerella","s__uncultured_rumen"
"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Tyzzerella","s__uncultured_rumen"
"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Rikenellaceae_RC9_gut_group","s__uncultured_bacterium"
"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Rikenellaceae_RC9_gut_group","s__uncultured_bacterium"
"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae_UCG-001","s__wallaby_gut"
"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae_Ga6A1_group","s__uncultured_bacterium"
"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidales_UCG-001","g__Bacteroidales_UCG-001","s__uncultured_rumen"
"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Muribaculaceae","s__uncultured_bacterium"
"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Muribaculaceae","s__uncultured_bacterium"
"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Parabacteroides",NA
"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae",NA,NA
"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides",NA
"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_salyersiae"
"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides",NA
"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides",NA
"d__Bacteria",NA,NA,NA,NA,NA,NA
"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_vulgatus"
"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_vulgatus"
"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides",NA
"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_UCG-004","s__uncultured_Bacteroidetes"
"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidales_RF16_group","g__Bacteroidales_RF16_group","s__uncultured_bacterium"
"d__Bacteria","p__Synergistota","c__Synergistia","o__Synergistales","f__Synergistaceae","g__uncultured",NA
"d__Bacteria","p__Synergistota","c__Synergistia","o__Synergistales","f__Synergistaceae","g__Cloacibacillus","s__Cloacibacillus_porcorum"
"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Blautia","s__uncultured_bacterium"
"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Hungatella",NA
"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__uncultured","s__uncultured_bacterium"
"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__[Eubacterium]_coprostanoligenes_group","g__[Eubacterium]_coprostanoligenes_group",NA
"d__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia",NA
"d__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia","s__Akkermansia_glycaniphila"
"d__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia","s__Akkermansia_glycaniphila"
"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae",NA,NA
"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae",NA,NA
"d__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Peptostreptococcaceae","g__Paeniclostridium",NA
"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Ruminococcus",NA
"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Incertae_Sedis",NA
"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__[Clostridium]_methylpentosum_group","g__[Clostridium]_methylpentosum_group","s__Ruminococcus_sp."
"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Ruminococcus","s__Ruminococcus_sp."
"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Ruminococcus","s__Ruminococcus_sp."
"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Ruminococcus",NA
"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__UCG-010","g__UCG-010","s__uncultured_bacterium"
"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae",NA,NA
"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Colidextribacter","s__uncultured_rumen"
"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Intestinimonas",NA
"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Colidextribacter","s__uncultured_rumen"
"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae",NA,NA
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Lactococcus",NA
"d__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__Family_XIII_UCG-001","s__uncultured_bacterium"
"d__Bacteria","p__Firmicutes","c__Negativicutes","o__Acidaminococcales","f__Acidaminococcaceae","g__Phascolarctobacterium",NA
"d__Bacteria","p__Firmicutes","c__Negativicutes","o__Veillonellales-Selenomonadales","f__Selenomonadaceae",NA,NA
"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Candidatus_Soleaferrea","s__uncultured_Firmicutes"
"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__[Eubacterium]_coprostanoligenes_group","g__[Eubacterium]_coprostanoligenes_group",NA
"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales",NA,NA,NA
"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Candidatus_Soleaferrea",NA
"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Butyricicoccaceae","g__UCG-008","s__uncultured_bacterium"
"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__uncultured",NA
"d__Bacteria","p__Firmicutes","c__Clostridia","o__Monoglobales","f__Monoglobaceae","g__Monoglobus","s__uncultured_organism"
"d__Bacteria","p__Spirochaetota","c__Spirochaetia","o__Spirochaetales","f__Spirochaetaceae","g__Treponema","s__uncultured_bacterium"
"d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Enterorhabdus",NA
"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Rikenellaceae","s__Rikenella_sp."
"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes",NA
"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes","s__uncultured_bacterium"
"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes",NA
"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes","s__Alistipes_indistinctus"
"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes","s__Alistipes_finegoldii"
"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes",NA
"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes","s__uncultured_Rikenellaceae"
"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidales_BS11_gut_group","g__Bacteroidales_BS11_gut_group",NA
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Sutterellaceae","g__Parasutterella",NA
"d__Bacteria","p__Desulfobacterota","c__Desulfovibrionia","o__Desulfovibrionales","f__Desulfovibrionaceae","g__uncultured","s__uncultured_delta"
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas",NA
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pasteurellales","f__Pasteurellaceae",NA,NA
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Escherichia-Shigella",NA
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae",NA,NA
